Step: 2000, Reward: -3722.762733101845
Step: 4000, Reward: -2344.264636218548
Step: 6000, Reward: -2019.4927591383457
Step: 8000, Reward: -4651.841872692108
Step: 10000, Reward: -2017.0955713689327
Step: 12000, Reward: -2933.015278697014
Step: 14000, Reward: -1172.0069315433502
Step: 16000, Reward: -3802.4438996315002
Step: 18000, Reward: -2644.4234302192926
Step: 20000, Reward: -1989.912002235651
Step: 22000, Reward: -4418.936408042908
Step: 24000, Reward: -1394.4803469479084
Step: 26000, Reward: -1588.9547698497772
Step: 28000, Reward: -5055.733818531036
Step: 30000, Reward: -1800.1625514030457
Step: 32000, Reward: -858.4102633446455
Step: 34000, Reward: -4095.221548318863
Step: 36000, Reward: -1668.481142655015
Step: 38000, Reward: -319.1790460161865
Step: 40000, Reward: -4605.978648662567
Step: 42000, Reward: -1178.6160277053714
Step: 44000, Reward: -1750.567588210106
Step: 46000, Reward: -609.0935681629926
Step: 48000, Reward: -1103.6265614628792
Step: 50000, Reward: -1495.7822408676147
Step: 52000, Reward: -3718.6466158628464
Step: 54000, Reward: -1615.725062340498
Step: 56000, Reward: -4622.796118378639
Step: 58000, Reward: -2835.7259031534195
Step: 60000, Reward: -2378.6734193861485
Step: 62000, Reward: -1437.2592563331127
Step: 64000, Reward: -6609.852339267731
Step: 66000, Reward: -381.7856267504394
Step: 68000, Reward: -2640.304234087467
Step: 70000, Reward: -1155.3602939844131
Step: 72000, Reward: -2799.7231175899506
Step: 74000, Reward: -1626.7811115980148
Step: 76000, Reward: -541.2565939873457
Step: 78000, Reward: -2509.394470870495
Step: 80000, Reward: -4351.147502660751
Step: 82000, Reward: -1632.0903737545013
Step: 84000, Reward: -3176.9171446561813
Step: 86000, Reward: -1532.7559489011765
Step: 88000, Reward: -3782.5935847759247
Step: 90000, Reward: -1027.0482861995697
Step: 92000, Reward: -3768.6792917251587
Step: 94000, Reward: -3068.3212876319885
Step: 96000, Reward: -1477.717558979988
Step: 98000, Reward: -1058.9214525222778
Step: 100000, Reward: -407.183880135417
Step: 102000, Reward: -4911.879074335098
Step: 104000, Reward: -861.6555808335543
Step: 106000, Reward: -3206.3205221891403
Step: 108000, Reward: -3934.8842536211014
Step: 110000, Reward: -1576.0305993556976
Step: 112000, Reward: -1439.0298315286636
Step: 114000, Reward: -1266.0866637825966
Step: 116000, Reward: -3246.322291135788
Step: 118000, Reward: -4503.164678096771
Step: 120000, Reward: -1892.5135089159012
Step: 122000, Reward: -951.6323424652219
Step: 124000, Reward: -3134.201551795006
Step: 126000, Reward: -2914.2337687015533
Step: 128000, Reward: -4348.389628767967
Step: 130000, Reward: -1747.1123667657375
Step: 132000, Reward: -2153.884484708309
Step: 134000, Reward: -398.25819309055805
Step: 136000, Reward: -1171.1600796878338
Step: 138000, Reward: -1144.0735167860985
Step: 140000, Reward: -3613.2241146564484
Step: 142000, Reward: -897.1727558150887
Step: 144000, Reward: -3591.454671025276
Step: 146000, Reward: -2405.6631217598915
Step: 148000, Reward: -1330.6416373252869
Step: 150000, Reward: -644.4436244741082
Step: 152000, Reward: -1401.1686887480319
Step: 154000, Reward: -316.4529057573527
Step: 156000, Reward: -508.1638439744711
Step: 158000, Reward: -4352.141318798065
Step: 160000, Reward: -1991.69380569458
Step: 162000, Reward: -1739.0946792662144
Step: 164000, Reward: -4395.1741490364075
Step: 166000, Reward: -3756.124299645424
Step: 168000, Reward: -1762.4683489203453
Step: 170000, Reward: -3373.3604925870895
Step: 172000, Reward: -4603.721009254456
Step: 174000, Reward: -4436.740876197815
Step: 176000, Reward: -2910.933284640312
Step: 178000, Reward: -1526.528038084507
Step: 180000, Reward: -1190.7093777656555
Step: 182000, Reward: -2641.2921689748764
Step: 184000, Reward: -3772.341870903969
Step: 186000, Reward: -1601.9903851747513
Step: 188000, Reward: -3404.3888417482376
Step: 190000, Reward: -1050.4995687007904
Step: 192000, Reward: -1565.6227101385593
Step: 194000, Reward: -1279.4841395020485
Step: 196000, Reward: -1014.582823485136
Step: 198000, Reward: -417.80743239820004
Step: 200000, Reward: -1444.0457859039307
Step: 202000, Reward: -4648.444646120071
Step: 204000, Reward: -2500.3290162682533
Step: 206000, Reward: -1161.269173964858
Step: 208000, Reward: -2194.3251381218433
Step: 210000, Reward: -3217.5188918709755
Step: 212000, Reward: -1195.3629391789436
Step: 214000, Reward: -2166.862661957741
Step: 216000, Reward: -699.3970294650644
Step: 218000, Reward: -1263.5973863601685
Step: 220000, Reward: -2117.8232238292694
Step: 222000, Reward: -3288.895593225956
Step: 224000, Reward: -3102.6899003982544
Step: 226000, Reward: -1407.5581017434597
Step: 228000, Reward: -1728.9130231626332
Step: 230000, Reward: -3110.8892399072647
Step: 232000, Reward: -4118.405189990997
Step: 234000, Reward: -4995.094009637833
Step: 236000, Reward: -4437.1884088516235
Step: 238000, Reward: -3086.8078397512436
Step: 240000, Reward: -1302.865720629692
Step: 242000, Reward: -6116.130525350571
Step: 244000, Reward: -4673.886774301529
Step: 246000, Reward: -2576.767045557499
Step: 248000, Reward: -1406.0029711723328
Step: 250000, Reward: -8020.6738929748535
Step: 252000, Reward: -3283.8801729679108
Step: 254000, Reward: -390.4247045367956
Step: 256000, Reward: -2602.5086673498154
Step: 258000, Reward: -1129.778342396021
Step: 260000, Reward: -1479.5124222189188
Step: 262000, Reward: -1219.944848895073
Step: 264000, Reward: -388.2611013762653
Step: 266000, Reward: -4054.2767419815063
Step: 268000, Reward: -3068.711125731468
Step: 270000, Reward: -1347.115138232708
Step: 272000, Reward: -1340.2017052173615
Step: 274000, Reward: -2082.3522955477238
Step: 276000, Reward: -1959.5804554969072
Step: 278000, Reward: -1036.9619589745998
Step: 280000, Reward: -1026.3847956955433
Step: 282000, Reward: -2363.003284037113
Step: 284000, Reward: -6475.13232088089
Step: 286000, Reward: -2074.4653364419937
Step: 288000, Reward: -3874.283410191536
Step: 290000, Reward: -4279.345100283623
Step: 292000, Reward: -3875.9686702489853
Step: 294000, Reward: -1367.7518663406372
Step: 296000, Reward: -415.63058241829276
Step: 298000, Reward: -1127.7142093777657
Step: 300000, Reward: -1440.7556144595146
Step: 302000, Reward: -2648.792665243149
Step: 304000, Reward: -1140.6667889356613
Step: 306000, Reward: -5076.671021938324
Step: 308000, Reward: -2612.481834948063
Step: 310000, Reward: -4287.485439896584
Step: 312000, Reward: -509.44154738634825
Step: 314000, Reward: -1015.0150654315948
Step: 316000, Reward: -2904.5949779748917
Step: 318000, Reward: -436.5631872024387
Step: 320000, Reward: -318.20207493007183
Step: 322000, Reward: -2606.886773586273
