Step: 1000, Reward: -347.92945070937276
Step: 2000, Reward: -373.0414331406355
Step: 3000, Reward: -145.457818698138
Step: 4000, Reward: -205.59083892405033
Step: 5000, Reward: -419.05489698052406
Step: 6000, Reward: -577.0236411392689
Step: 7000, Reward: -262.77200139313936
Step: 8000, Reward: -400.9347332715988
Step: 9000, Reward: -261.26317362859845
Step: 10000, Reward: -201.95073848962784
Step: 11000, Reward: -239.96042989194393
Step: 12000, Reward: -321.33889558911324
Step: 13000, Reward: -286.4607014656067
Step: 14000, Reward: -552.6013742387295
Step: 15000, Reward: -196.09163098409772
Step: 16000, Reward: -169.27750551700592
Step: 17000, Reward: -269.886676967144
Step: 18000, Reward: -540.4423587322235
Step: 19000, Reward: -298.7122346535325
Step: 20000, Reward: -226.05778235197067
